Type ,Index,Column Name
Numerical,0,RefID
Categorical,1,ISBADBUY
Nominal,2,PurchDate
Categorical,3,Auction
Nominal,4,VehYear
Numerical,5,VehicleAge
Categorical,6,Make
Categorical,7,Model
Categorical,8,Trim
Categorical,9,SubModel
Categorical,10,Color
Categorical,11,Transmission
Categorical,12,WheelTypeID
Categorical,13,WheelType
Numerical,14,VehOdo
Categorical,15,Nationality
Categorical,16,Size
Categorical,17,TopThreeAmericanName
Numerical,18,MMRAcquisitionAuctionAveragePrice
Numerical,19,MMRAcquisitionAuctionCleanPrice
Numerical,20,MMRAcquisitionRetailAveragePrice
Numerical,21,MMRAcquisitonRetailCleanPrice
Numerical,22,MMRCurrentAuctionAveragePrice
Numerical,23,MMRCurrentAuctionCleanPrice
Numerical,24,MMRCurrentRetailAveragePrice
Numerical,25,MMRCurrentRetailCleanPrice
Categorical,26,PRIMEUNIT
Categorical,27,AUCGUART
Numerical,28,BYRNO
Numerical,29,VNZIP1
Categorical,30,VNST
Numerical,31,VehBCost
Categorical,32,IsOnlineSale
Numerical,33,WarrantyCost
