Kmeans, Simple, Without Replacement, 7290, 2, 0.8780521262, 0.439999818802
Kmeans, Simple, With Replacemnt, 7290, 2, 0.878326474623, 0.447000026703
Kmeans, Simple, Without Replacement, 14309, 2, 0.878468277119, 0.941999912262
Kmeans, Simple, With Replacemnt, 14309, 2, 0.879795922275, 1.04499983788
Kmeans, Simple, Without Replacement, 7290, 4, 0.873936401139, 1.64599990845
Kmeans, Simple, With Replacemnt, 7290, 4, 0.879971841087, 1.54600000381
Kmeans, Simple, Without Replacement, 14309, 4, 0.879026895795, 2.82700014114
Kmeans, Simple, With Replacemnt, 14309, 4, 0.879096376561, 2.75900006294
Kmeans, Simple, Without Replacement, 7290, 5, 0.878600823045, 2.38999986649
Kmeans, Simple, With Replacemnt, 7290, 5, 0.882716049383, 2.21600008011
Kmeans, Simple, Without Replacement, 14309, 5, 0.87651102528, 4.17199993134
Kmeans, Simple, With Replacemnt, 14309, 5, 0.884827840905, 4.22200012207
